2014-05-25 00:22:21,362 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 5
2014-05-25 00:22:21,362 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 10
2014-05-25 00:22:21,373 Thread-4 org.eclipse.jetty.util.ssl.SslContextFactory INFO: Enabled Protocols [SSLv2Hello, SSLv3, TLSv1, TLSv1.1, TLSv1.2] of [SSLv2Hello, SSLv3, TLSv1, TLSv1.1, TLSv1.2]
2014-05-25 00:22:21,393 Thread-4 org.eclipse.jetty.server.AbstractConnector INFO: Started SslSocketConnector@0.0.0.0:8889
2014-05-25 00:22:21,475 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 7
2014-05-25 00:22:21,476 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -10
2014-05-25 00:22:21,477 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 8
2014-05-25 00:22:21,478 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -9
2014-05-25 00:22:21,485 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 10
2014-05-25 00:22:21,485 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -8
2014-05-25 00:22:21,494 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 9
2014-05-25 00:22:21,494 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -7
2014-05-25 00:22:21,503 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -10
2014-05-25 00:22:21,503 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -6
2014-05-25 00:22:21,511 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -9
2014-05-25 00:22:21,511 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -5
2014-05-25 00:22:21,520 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -5
2014-05-25 00:22:21,520 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -4
2014-05-25 00:22:21,521 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -8
2014-05-25 00:22:21,522 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -3
2014-05-25 00:22:21,531 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -4
2014-05-25 00:22:21,531 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -2
2014-05-25 00:22:21,540 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -2
2014-05-25 00:22:21,540 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, -1
2014-05-25 00:22:21,552 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -6
2014-05-25 00:22:21,552 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -7
2014-05-25 00:22:21,552 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 0
2014-05-25 00:22:21,552 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 1
2014-05-25 00:22:21,563 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 0
2014-05-25 00:22:21,563 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 2
2014-05-25 00:22:21,567 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -3
2014-05-25 00:22:21,568 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 3
2014-05-25 00:22:21,576 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 3
2014-05-25 00:22:21,576 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 4
2014-05-25 00:22:21,578 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 1
